model_name,batch_size,spatial_resolution,depth,patch_shape,vram_peak_gb,duration_seconds,efficiency_score
EfficientNet3D-B0,48,256,24,48x24x256x256,42.11137819290161,6.855479955673218,0.7976685191739191
EfficientNet3D-B0,12,512,24,12x24x512x512,42.099658489227295,6.907699346542358,0.7960456443699047
EfficientNet3D-B0,24,256,48,24x48x256x256,41.398762226104736,6.758052349090576,0.7888242418758369
EfficientNet3D-B3,20,256,32,20x32x256x256,41.03196573257446,6.611598968505859,0.7869155482272161
EfficientNet3D-B4,32,256,16,32x16x256x256,40.38566780090332,6.673182725906372,0.7747783230172123
EfficientNet3D-B4,8,512,16,8x16x512x512,40.340402126312256,6.819572687149048,0.7700282020324993
EfficientNet3D-B4,64,128,32,64x32x128x128,39.755823612213135,6.6975133419036865,0.7639296653672968
EfficientNet3D-B4,32,128,64,32x64x128x128,39.74437999725342,6.7250120639801025,0.762989843053887
EfficientNet3D-B4,16,256,32,16x32x256x256,39.75865936279297,6.7685980796813965,0.7620242048572926
EfficientNet3D-B4,4,512,32,4x32x512x512,39.736411571502686,6.8468310832977295,0.7595170729836594
EfficientNet3D-B4,8,256,64,8x64x256x256,39.73754549026489,6.857446908950806,0.7592439939870479
EfficientNet3D-B4,20,256,24,20x24x256x256,38.303091049194336,6.387845993041992,0.7489482194629535
EfficientNet3D-B3,24,256,24,24x24x256x256,37.892889976501465,6.198581695556641,0.7475131085902758
EfficientNet3D-B3,12,256,48,12x48x256x256,37.129050731658936,5.8622777462005615,0.744398087944418
EfficientNet3D-B0,64,256,16,64x16x256x256,37.05952978134155,5.961156129837036,0.7405601128212896
EfficientNet3D-B0,16,512,16,16x16x512x512,37.046337604522705,5.972049713134766,0.7400478428886733
EfficientNet3D-B0,4,1024,16,4x16x1024x1024,37.04524374008179,6.012990713119507,0.738906318928897
EfficientNet3D-B3,48,128,48,48x48x128x128,37.13516426086426,6.09399151802063,0.7381362939437682
EfficientNet3D-B0,8,512,32,8x32x512x512,36.62985277175903,5.86286473274231,0.736312960208922
EfficientNet3D-B0,32,256,32,32x32x256x256,36.635953426361084,5.894020080566406,0.7355563472509046
EfficientNet3D-B0,16,256,64,16x64x256x256,36.62887239456177,5.9712233543396,0.733322636632618
EfficientNet3D-B0,64,128,64,64x64x128x128,36.634984493255615,5.99519681930542,0.7327633535040712
EfficientNet3D-B2,32,256,24,32x24x256x256,37.18330097198486,6.46976900100708,0.7285991686202252
EfficientNet3D-B2,8,512,24,8x24x512x512,37.1672043800354,6.468501806259155,0.7283737688640821
EfficientNet3D-B2,48,256,16,48x16x256x256,36.78504467010498,6.3161492347717285,0.7263786794003917
EfficientNet3D-B0,4,512,64,4x64x512x512,36.62777853012085,6.25121545791626,0.7256190878767053
EfficientNet3D-B1,8,512,24,8x24x512x512,36.39406681060791,6.122970104217529,0.7253617550822721
EfficientNet3D-B1,32,256,24,32x24x256x256,36.4039249420166,6.1753411293029785,0.7240835010899289
ResNet3D-50,8,1024,16,8x16x1024x1024,43.44680976867676,10.398104429244995,0.7220082700210952
EfficientNet3D-B1,48,256,16,48x16x256x256,36.12228202819824,6.085291385650635,0.722002929491129
EfficientNet3D-B1,12,512,16,12x16x512x512,36.11293411254883,6.100652456283569,0.7214301641610201
ResNet3D-50,8,512,64,8x64x512x512,43.19346857070923,10.275792360305786,0.721270776710719
ResNet3D-50,32,512,16,32x16x512x512,43.46634101867676,10.44413161277771,0.7210605122712497
ResNet3D-50,64,256,32,64x32x256x256,43.28622627258301,10.394602298736572,0.7195087396975822
ResNet3D-50,32,256,64,32x64x256x256,43.19345712661743,10.342820644378662,0.7194306451420851
EfficientNet3D-B2,64,128,48,64x48x128x128,36.443678855895996,6.386640310287476,0.7189258555162457
EfficientNet3D-B2,16,256,48,16x48x256x256,36.43678379058838,6.386635780334473,0.718814528319877
ResNet3D-50,16,512,32,16x32x512x512,43.1934609413147,10.384589433670044,0.7182841409558227
ResNet3D-50,4,1024,32,4x32x1024x1024,43.19348430633545,10.617087125778198,0.711902386950023
EfficientNet3D-B2,12,512,16,12x16x512x512,36.76482391357422,6.858840227127075,0.7111548007448494
EfficientNet3D-B2,12,256,64,12x64x256x256,36.243160247802734,6.5683252811431885,0.7106973740149294
EfficientNet3D-B2,4,512,48,4x48x512x512,36.43312406539917,6.732445955276489,0.7092627792155256
EfficientNet3D-B2,24,256,32,24x32x256x256,36.25372552871704,6.670773983001709,0.7080559030464928
EfficientNet3D-B2,48,128,64,48x64x128x128,36.2483549118042,6.681164741516113,0.7076838631702016
EfficientNet3D-B1,4,512,48,4x48x512x512,35.776753425598145,6.467049598693848,0.7059384417916869
EfficientNet3D-B1,12,256,64,12x64x256x256,35.61711502075195,6.4075517654418945,0.7049912867895519
EfficientNet3D-B1,16,256,48,16x48x256x256,35.77935838699341,6.508777379989624,0.7048351081128201
EfficientNet3D-B1,48,128,64,48x64x128x128,35.622297286987305,6.43386697769165,0.7043526922200649
EfficientNet3D-B0,20,256,48,20x48x256x256,34.51390600204468,5.78774881362915,0.7041728404341877
EfficientNet3D-B1,24,256,32,24x32x256x256,35.622443199157715,6.448843002319336,0.7039439543514059
