model_name,batch_size,spatial_resolution,depth,patch_shape,vram_peak_gb,vram_used_gb,duration_seconds
ResNet3D-50,32,512,16,32x16x512x512,43.46634101867676,0.7146620750427246,10.44413161277771
ResNet3D-50,8,1024,16,8x16x1024x1024,43.44680976867676,0.7142714494839311,10.398104429244995
ResNet3D-50,64,256,32,64x32x256x256,43.28622627258301,0.7122817039489746,10.394602298736572
ResNet3D-50,4,1024,32,4x32x1024x1024,43.19348430633545,0.7122817039489746,10.617087125778198
ResNet3D-50,8,512,64,8x64x512x512,43.19346857070923,0.7122817039489746,10.275792360305786
ResNet3D-50,16,512,32,16x32x512x512,43.1934609413147,0.7122817039489746,10.384589433670044
ResNet3D-50,32,256,64,32x64x256x256,43.19345712661743,0.7122817039489746,10.342820644378662
ResNet3D-50,20,512,24,20x24x512x512,41.4159951210022,0.7116713523864746,10.16985535621643
ResNet3D-101,64,256,24,64x24x256x256,40.16258955001831,1.2973852157592771,9.723525285720823
ResNet3D-101,4,1024,24,4x24x1024x1024,40.07021379470825,1.2967748641967771,10.30909538269043
ResNet3D-101,16,512,24,16x24x512x512,40.0692138671875,1.2957983016967771,9.7539222240448
ResNet3D-101,24,512,16,24x16x512x512,37.95690107345581,1.2992650978267193,10.64442753791809
ResNet3D-101,32,256,48,32x48x256x256,37.83287763595581,1.2952611921355128,11.203113317489624
ResNet3D-101,48,256,32,48x32x256x256,37.82091474533081,1.2970190048217771,10.660166263580322
ResNet3D-101,8,512,48,8x48x512x512,37.80675458908081,1.2976049417629838,11.211354970932009
ResNet3D-101,24,256,64,24x64x256x256,37.770137786865234,1.2972631454467771,9.371553421020508
ResNet3D-101,12,512,32,12x32x512x512,37.7696533203125,1.2958959573879838,10.93476939201355
ResNet3D-50,64,256,24,64x24x256x256,33.34958076477051,0.7141127586364746,7.632546901702881
ResNet3D-50,4,1024,24,4x24x1024x1024,33.25610637664795,0.7124037742614746,7.806216478347778
ResNet3D-50,16,512,24,16x24x512x512,33.2560830116272,0.7124037742614746,7.582312345504761
ResNet3D-50,24,512,16,24x16x512x512,32.73513984680176,0.7108168601989746,8.164392232894897
ResNet3D-50,32,256,48,32x48x256x256,32.61129951477051,0.7102065086364746,8.177165508270264
ResNet3D-50,48,256,32,48x32x256x256,32.60000801086426,0.7115614889189601,8.004844665527344
ResNet3D-50,8,512,48,8x48x512x512,32.58201456069946,0.7097182273864746,7.7939300537109375
ResNet3D-50,12,512,32,12x32x512x512,32.5499062538147,0.7124770162627101,8.043347597122192
ResNet3D-50,24,256,64,24x64x256x256,32.54923105239868,0.7116103172302246,7.6047682762146
ResNet3D-101,20,512,16,20x16x512x512,31.79497480392456,1.2996435165405271,7.61099910736084
ResNet3D-101,20,256,64,20x64x256x256,31.657954692840576,1.2990942001342771,7.568722009658813
ResNet3D-34,32,512,24,32x24x512x512,31.373148441314697,0.9715652465820312,9.683619260787964
ResNet3D-34,8,1024,24,8x24x1024x1024,31.373148441314697,0.9715652465820312,9.659825563430786
ResNet3D-34,48,512,16,48x16x512x512,31.04777193069458,0.9739456176757812,9.418259382247925
ResNet3D-34,12,1024,16,12x16x1024x1024,31.04777193069458,0.9739456176757812,9.51516890525818
ResNet3D-34,16,512,48,16x48x512x512,30.937906742095947,0.9735794067382812,9.444642543792725
ResNet3D-34,4,1024,48,4x48x1024x1024,30.937906742095947,0.9735794067382812,9.598451137542725
ResNet3D-34,64,256,48,64x48x256x256,30.9362587928772,0.9724197387695312,9.395537853240969
ResNet3D-34,24,512,32,24x32x512x512,30.929239749908447,0.9726028442382812,9.296737670898438
ResNet3D-34,12,512,64,12x64x512x512,30.929239749908447,0.9726028442382812,9.451073408126833
ResNet3D-34,48,256,64,48x64x256x256,30.928507328033447,0.9718704223632812,9.535712718963625
ResNet3D-101,48,256,24,48x24x256x256,30.36852216720581,1.2972631454467771,7.64517331123352
ResNet3D-101,12,512,24,12x24x512x512,30.31774139404297,1.2979955673217771,7.363202095031738
ResNet3D-101,24,256,48,24x48x256x256,28.63097333908081,1.3043432235717771,7.134863376617432
ResNet3D-50,20,512,16,20x16x512x512,27.368989944458008,0.7139906883239746,6.019433736801148
ResNet3D-50,20,256,64,20x64x256x256,27.233373641967773,0.7142348289489746,5.9675209522247314
ResNet3D-18,48,256,64,48x64x256x256,26.7665810585022,0.5168247222900391,7.20856761932373
ResNet3D-18,32,512,24,32x24x512x512,26.7665810585022,0.5168247222900391,7.290747165679932
ResNet3D-18,8,1024,24,8x24x1024x1024,26.7665810585022,0.5168247222900391,7.291012525558472
ResNet3D-18,64,256,48,64x48x256x256,26.7660927772522,0.5163364410400391,7.233155965805054
ResNet3D-18,16,512,48,16x48x512x512,26.7660927772522,0.5163364410400391,7.212362289428711
ResNet3D-18,4,1024,48,4x48x1024x1024,26.7660927772522,0.5163364410400391,7.286099195480347
ResNet3D-18,48,512,16,48x16x512x512,26.765909671783447,0.5161533355712891,7.155345916748047
